"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"university of akron",10270,18801,"public",17416,"moderately difficult",0.96,13911,"akron","OH"
"albion college",43050,43050,"private",1418,"moderately difficult",0.72,3338,"albion","MI"
"baptist bible college",13850,13850,"private",544,"noncompetitive",0.76,264,"springfield","MO"
"beloit college",48706,48706,"private",1394,"",NA,NA,"beloit","WI"
"bemidji state university",8678,8678,"public",4795,"moderately difficult",0.64,4137,"bemidji","MN"
"bethel college",27930,27930,"private",1388,"minimally difficult",0.98,1168,"mishawaka","IN"
"bethel college",27930,27930,"private",460,"moderately difficult",0.56,770,"north newton","KS"
"bethel university",36210,36210,"private",2965,"moderately difficult",0.82,1798,"st paul","MN"
"bethel university",36210,36210,"private",4239,"minimally difficult",0.62,1573,"mckenzie","TN"
"blackburn college",21992,21992,"private",596,"moderately difficult",0.52,1001,"carlinville","IL"
"bluffton university",31672,31672,"private",865,"moderately difficult",0.5,1480,"bluffton","OH"
"bowling green state university",11057,18593,"public",14852,"moderately difficult",0.74,14891,"bowling green","OH"
"bradley university",32930,32930,"private",4473,"moderately difficult",0.7,9786,"peoria","IL"
"briar cliff university",29786,29786,"private",1117,"moderately difficult",0.51,1741,"sioux city","IA"
"buena vista university",32854,32854,"private",795,"moderately difficult",0.64,1256,"storm lake","IA"
"butler university",40175,40175,"private",4290,"moderately difficult",0.73,12937,"indianapolis","IN"
"calumet college of st. joseph",18620,18620,"private",784,"noncompetitive",0.3,628,"whiting","IN"
"calvin college",33100,33100,"private",3807,"moderately difficult",0.75,3981,"grand rapids","MI"
"capital university",34600,34600,"private",2718,"moderately difficult",0.69,4287,"columbus","OH"
"cardinal stritch university",28844,28844,"private",1534,"moderately difficult",0.82,774,"milwaukee","WI"
"carleton college",52782,52782,"private",2105,"very difficult",0.23,6485,"northfield","MN"
"carroll university",31144,31144,"private",3139,"moderately difficult",0.79,2512,"waukesha","WI"
"carthage college",41950,41950,"private",2828,"moderately difficult",0.7,6640,"kenosha","WI"
"cedarville university",29156,29156,"private",3380,"moderately difficult",0.69,4092,"cedarville","OH"
"central college",35930,35930,"private",1274,"moderately difficult",0.64,3071,"pella","IA"
"central methodist university",23770,23770,"private",1094,"moderately difficult",0.61,1365,"fayette","MO"
"central michigan university",12510,23670,"public",19923,"moderately difficult",0.72,18875,"mount pleasant","MI"
"university of central missouri",7520,14150,"public",9786,"moderately difficult",0.98,3941,"warrensburg","MO"
"central state university",6246,8096,"public",1729,"minimally difficult",0.42,7669,"wilberforce","OH"
"chicago state university",12086,20786,"public",3912,"minimally difficult",0.3,5517,"chicago","IL"
"university of chicago",54825,54825,"private",5941,"most difficult",0.08,31484,"chicago","IL"
"cincinnati christian university",17240,17240,"private",620,"minimally difficult",0.59,241,"cincinnati","OH"
"university of cincinnati",11000,26334,"public",25860,"moderately difficult",0.76,19370,"cincinnati","OH"
